SaleID,price
200000,1242.8308713243391
200001,1784.61544691071
200002,8541.309628096593
200003,1277.4777505072939
200004,2055.365545637915
200005,1167.953020288625
200006,404.17269036036043
200007,3543.4228186455657
200008,12652.670774672533
200009,604.6972861603547
200010,556.1919993419284
200011,2619.3125488396304
200012,5632.826998364804
200013,8013.261928465401
200014,1918.844664288002
200015,286.14488757931565
200016,1788.1852139412501
200017,8237.695971858951
200018,6590.495833768995
200019,671.7822218007675
200020,24658.129594885366
200021,7221.284537677964
200022,2019.2435899403447
200023,1597.01538099762
200024,728.509309613077
200025,8851.52789596484
200026,585.6755744504842
200027,12849.482470297571
200028,4367.443415814427
200029,7745.472458686369
200030,17930.558523143136
200031,12189.820561927341
200032,605.969317103945
200033,14694.717980608035
200034,859.6595903430907
200035,1929.0149046449255
200036,14370.653130938237
200037,6219.415373829598
200038,1376.5682382862942
200039,309.85855670710885
200040,618.0476789667134
200041,26199.695833060174
200042,419.93447767842235
200043,7599.8046597332195
200044,17677.775745093015
200045,628.4032933708409
200046,15626.998384292838
200047,17056.311050707875
200048,2118.8137654830825
200049,3033.134110757607
200050,918.7675910209468
200051,4481.606580123525
200052,2714.257328958808
200053,339.32406173550805
200054,13013.783272020512
200055,10108.326487339225
200056,7894.551729329375
200057,3216.445890696772
200058,1187.8376288659174
200059,5122.776029763136
200060,8195.755554165933
200061,1335.5654231827111
200062,5388.666281087062
200063,8799.469409830883
200064,1299.578960449207
200065,1892.6156457617278
200066,541.316084181565
200067,9932.68076354586
200068,161.24684956567444
200069,18258.354540201064
200070,9006.775375735659
200071,370.966758850907
200072,5899.171858543274
200073,20290.5654660307
200074,4506.398908123341
200075,16031.809138023922
200076,3044.6727854257383
200077,467.02969176581144
200078,383.908938980409
200079,2852.2101204226306
200080,3479.873218371902
200081,2067.333030629195
200082,4177.108667654551
200083,469.4367180167812
200084,1252.802440769059
200085,1737.719325604448
200086,6670.706454794414
200087,3396.8645769305313
200088,2821.7968480040317
200089,40935.37360161652
200090,2675.9220886653466
200091,231.50576295268618
200092,1757.9711596745367
200093,16821.36486613642
200094,6739.46651522481
200095,5478.743980335909
200096,2331.4806294726955
200097,1146.5545067127587
200098,393.04521745622685
200099,19263.401629394008
200100,21768.82363947312
200101,8310.328915269514
200102,1815.6001541884937
200103,10528.000243810891
200104,5498.362342995151
200105,3666.2790493371567
200106,8552.847902491467
200107,2043.6118698737932
200108,14933.51237171194
200109,8244.522598437614
